1984	1984	1984-1984	2015-10-31 20:48:30	https.//cinemanía.com/imágenes/1984-1984	/1984-1984background.jpg	/1984-1984small_cover.jpg	/1984-1984medium_cover.jpg	/1984-1984large_cover.jpg
2014	A Brony Tale	a-brony-tale-2014	2015-10-31 20:56:34	https.//palomitas.com/películas/a-brony-tale-2014	/a-brony-tale-2014background.jpg	/a-brony-tale-2014small_cover.jpg	/a-brony-tale-2014medium_cover.jpg	/a-brony-tale-2014large_cover.jpg
2011	A Lonely Place to Die	a-lonely-place-to-die-2011	2015-10-31 20:59:54	https.//foro_pelis.es/carátulasa-lonely-place-to-die-2011	/a-lonely-place-to-die-2011background.jpg	/a-lonely-place-to-die-2011small_cover.jpg	/a-lonely-place-to-die-2011medium_cover.jpg	/a-lonely-place-to-die-2011large_cover.jpg
2010	And Soon the Darkness	and-soon-the-darkness-2010	2015-10-31 21:27:26	https.//Movie_covers.com/and-soon-the-darkness-2010	/and-soon-the-darkness-2010background.jpg	/and-soon-the-darkness-2010small_cover.jpg	/and-soon-the-darkness-2010medium_cover.jpg	/and-soon-the-darkness-2010large_cover.jpg
2013	Assassins Tale	assassins-tale-2013	2015-10-31 21:36:34	https.//forummovies.org/covers/assassins-tale-2013	/assassins-tale-2013background.jpg	/assassins-tale-2013small_cover.jpg	/assassins-tale-2013medium_cover.jpg	/assassins-tale-2013large_cover.jpg
1997	Batman & Robin	batman-robin-1997	2015-10-31 21:47:28	https.//forummovies.org/covers/batman-robin-1997	/batman-robin-1997background.jpg	/batman-robin-1997small_cover.jpg	/batman-robin-1997medium_cover.jpg	/batman-robin-1997large_cover.jpg
2006	Beerfest	beerfest-2006	2015-10-31 21:50:54	https.//palomitas.com/películas/beerfest-2006	/beerfest-2006background.jpg	/beerfest-2006small_cover.jpg	/beerfest-2006medium_cover.jpg	/beerfest-2006large_cover.jpg
2005	Beowulf & Grendel	beowulf-grendel-2005	2022-06-26 03:57:56	https.//cinemanía.com/imágenes/beowulf-grendel-2005	/beowulf-grendel-2005background.jpg	/beowulf-grendel-2005small_cover.jpg	/beowulf-grendel-2005medium_cover.jpg	/beowulf-grendel-2005large_cover.jpg
1986	Big Trouble in Little China	big-trouble-in-little-china-1986	2022-04-19 00:58:02	https.//moviemania/covers/big-trouble-in-little-china-1986	/big-trouble-in-little-china-1986background.jpg	/big-trouble-in-little-china-1986small_cover.jpg	/big-trouble-in-little-china-1986medium_cover.jpg	/big-trouble-in-little-china-1986large_cover.jpg
1989	Bill & Ted's Excellent Adventure	bill-teds-excellent-adventure-1989	2015-10-31 21:59:13	https.//palomitas.com/películas/bill-teds-excellent-adventure-1989	/bill-teds-excellent-adventure-1989background.jpg	/bill-teds-excellent-adventure-1989small_cover.jpg	/bill-teds-excellent-adventure-1989medium_cover.jpg	/bill-teds-excellent-adventure-1989large_cover.jpg
1988	Bull Durham	bull-durham-1988	2022-05-07 22:45:27	https.//Pelis_y_series/imágenes/bull-durham-1988	/bull-durham-1988background.jpg	/bull-durham-1988small_cover.jpg	/bull-durham-1988medium_cover.jpg	/bull-durham-1988large_cover.jpg
2011	Cat Run	cat-run-2011	2022-06-29 02:28:35	https.//forummovies.org/covers/cat-run-2011	/cat-run-2011background.jpg	/cat-run-2011small_cover.jpg	/cat-run-2011medium_cover.jpg	/cat-run-2011large_cover.jpg
2010	Cave of Forgotten Dreams	cave-of-forgotten-dreams-2010	NULL	https.//forummovies.org/covers/cave-of-forgotten-dreams-2010	/cave-of-forgotten-dreams-2010background.jpg	/cave-of-forgotten-dreams-2010small_cover.jpg	/cave-of-forgotten-dreams-2010medium_cover.jpg	/cave-of-forgotten-dreams-2010large_cover.jpg
